iter	Passed	Remaining
832	1751	351
833	1754	349
834	1756	347
835	1758	344
836	1761	342
837	1763	340
838	1765	338
839	1768	336
840	1770	334
841	1772	332
842	1775	330
843	1777	328
844	1779	326
845	1782	324
846	1784	322
847	1786	320
848	1788	318
849	1790	315
850	1792	313
851	1794	311
852	1796	309
853	1798	307
854	1800	305
855	1802	303
856	1804	301
857	1806	298
858	1808	296
859	1809	294
860	1811	292
861	1813	290
862	1815	288
863	1817	286
864	1819	283
865	1821	281
866	1823	279
867	1825	277
868	1827	275
869	1829	273
870	1831	271
871	1833	269
872	1834	266
873	1836	264
874	1838	262
875	1840	260
876	1842	258
877	1844	256
878	1846	254
879	1848	252
880	1850	250
881	1852	247
882	1854	245
883	1856	243
884	1858	241
885	1860	239
886	1862	237
887	1864	235
888	1866	233
889	1869	231
890	1871	228
891	1872	226
892	1874	224
893	1876	222
894	1878	220
895	1880	218
896	1882	216
897	1884	214
898	1886	211
899	1888	209
900	1890	207
901	1892	205
902	1894	203
903	1896	201
904	1898	199
905	1900	197
906	1902	195
907	1904	192
908	1906	190
909	1909	188
910	1911	186
911	1913	184
912	1915	182
913	1917	180
914	1919	178
915	1921	176
916	1923	174
917	1925	171
918	1927	169
919	1929	167
920	1931	165
921	1933	163
922	1935	161
923	1936	159
924	1939	157
925	1941	155
926	1942	153
927	1944	150
928	1946	148
929	1949	146
930	1950	144
931	1952	142
932	1954	140
933	1956	138
934	1958	136
935	1960	134
936	1962	131
937	1964	129
938	1966	127
939	1968	125
940	1970	123
941	1972	121
942	1974	119
943	1977	117
944	1978	115
945	1981	113
946	1982	110
947	1984	108
948	1986	106
949	1988	104
950	1990	102
951	1992	100
952	1994	98
953	1996	96
954	1998	94
955	2000	92
956	2002	89
957	2004	87
958	2006	85
959	2008	83
960	2010	81
961	2012	79
962	2014	77
963	2016	75
964	2018	73
965	2020	71
966	2022	69
967	2024	66
968	2025	64
969	2028	62
970	2030	60
971	2031	58
972	2033	56
973	2035	54
974	2038	52
975	2040	50
976	2041	48
977	2043	45
978	2045	43
979	2047	41
980	2049	39
981	2051	37
982	2053	35
983	2055	33
984	2057	31
985	2059	29
986	2061	27
987	2063	25
988	2065	22
989	2067	20
990	2069	18
991	2071	16
992	2073	14
993	2075	12
994	2077	10
995	2079	8
996	2081	6
997	2083	4
998	2085	2
999	2087	0
